Start	End	Feature	Attribute	Value
1	22469	repeat_region	rpt_type	direct 
2	22470		rpt_type	terminal
57	149	repeat_region	note	telomere-like
			rpt_type	direct
			rpt_type	tandem
426	1245	gene	locus_tag	CyHV3_ORF1_1
			db_xref	GeneID:11266495
426	1199	CDS	product	protein ORF1
			prot_desc	contains a potential transmembrane domain
			protein_id	ref
1240	1245	regulatory	regulatory_class	polyA_signal_sequence
3503	1573	gene	locus_tag	CyHV3_ORF2_1
			db_xref	GeneID:11266336
1578	1573	regulatory	regulatory_class	polyA_signal_sequence
3503	1635	CDS	product	protein ORF2
			protein_id	ref
			note	ORF2 family
4299	7008	gene	locus_tag	CyHV3_ORF3_1
			db_xref	GeneID:11266337
4299	6914	CDS	product	protein ORF3
			protein_id	ref
			note	possibly ORF2 family
7003	7008	regulatory	regulatory_class	polyA_signal_sequence
7386	8419	gene	locus_tag	CyHV3_ORF4_1
			db_xref	GeneID:11266338
7386	8327	CDS	product	protein ORF4
			prot_desc	contains a signal peptide; possibly involved in immune regulation
			protein_id	ref
			note	TNFR family
8414	8419	regulatory	regulatory_class	polyA_signal_sequence
8606	11029	gene	locus_tag	CyHV3_ORF5_1
			db_xref	GeneID:11266339
8606	9949	CDS	product	protein ORF5
			prot_desc	contains a potential transmembrane domain
			protein_id	ref
11024	11029	regulatory	regulatory_class	polyA_signal_sequence
13754	11322	gene	locus_tag	CyHV3_ORF6_1
			db_xref	GeneID:11266340
11327	11322	regulatory	regulatory_class	polyA_signal_sequence
13754	11975	CDS	product	protein ORF6
			protein_id	ref
18718	14687	gene	locus_tag	CyHV3_ORF8_1
17497	14687	gene	locus_tag	CyHV3_ORF7_1
			db_xref	GeneID:11266341
14692	14687	regulatory	gene	-
			note	ORF7, ORF8
			regulatory_class	polyA_signal_sequence
17497	16216	CDS	product	protein ORF7
			protein_id	ref
18718	17849	CDS	product	protein ORF8
			protein_id	ref
21869	22396	repeat_region	note	telomere-like
			rpt_type	direct
			rpt_type	dispersed
			rpt_type	tandem
24724	22802	gene	locus_tag	CyHV3_ORF9
			db_xref	GeneID:11266343
22807	22802	regulatory	regulatory_class	polyA_signal_sequence
24724	22928	CDS	product	protein ORF9
			protein_id	ref
			note	ORF2 family
24962	29232	gene	locus_tag	CyHV3_ORF10
			db_xref	GeneID:11266344
24962	25538	CDS	product	protein ORF10
			protein_id	ref
30181	29216	gene	locus_tag	CyHV3_ORF12
29666	29216	gene	locus_tag	CyHV3_ORF11
			db_xref	GeneID:11266345
29221	29216	regulatory	gene	-
			note	ORF11, ORF12
			regulatory_class	polyA_signal_sequence
29227	29232	regulatory	regulatory_class	polyA_signal_sequence
29666	29304	CDS	product	protein ORF11
			protein_id	ref
30181	29795	CDS	product	protein ORF12
			prot_desc	contains a signal peptide; possibly involved in immune regulation
			protein_id	ref
			note	TNFR family
31065	30236	gene	locus_tag	CyHV3_ORF15
30790	30236	gene	locus_tag	CyHV3_ORF14
30503	30236	gene	locus_tag	CyHV3_ORF13
30241	30236	regulatory	gene	-
			note	ORF13, ORF14, ORF15
			regulatory_class	polyA_signal_sequence
30503	30270	CDS	product	protein ORF13
			protein_id	ref
30790	30506	CDS	product	protein ORF14
			prot_desc	contains a potential transmembrane domain
			protein_id	ref
31065	30877	CDS	product	protein ORF15
			prot_desc	contains a potential transmembrane domain
			protein_id	ref
32417	31289	gene	locus_tag	CyHV3_ORF16
			db_xref	GeneID:11266350
31294	31289	regulatory	regulatory_class	polyA_signal_sequence
			db_xref	GeneID:11266344
24962	25538	CDS		
25642	29147			
			product	protein ORF10
			protein_id	ref|YP_001096049.1|
30181	29216	gene		
			locus_tag	CyHV3_ORF12
			db_xref	GeneID:11266346
29666	29216	gene		
			locus_tag	CyHV3_ORF11
			db_xref	GeneID:11266345
29221	29216	regulatory		
			gene	-
			note	ORF11, ORF12
			regulatory_class	polyA_signal_sequence
29227	29232	regulatory		
